RecordId,StudentId,StudentName,Gender,Course,Skill,Score,Attendance,SessionDate
1,1,Rashid Al Shehhi,Male,Data Analysis,Excel,64,Present,2024-07-19
2,1,Rashid Al Shehhi,Male,Data Analysis,Excel,79,Present,2024-07-01
3,1,Rashid Al Shehhi,Male,Data Analysis,Excel,80,Present,2024-08-15
4,1,Rashid Al Shehhi,Male,Data Analysis,Power BI,74,Present,2024-07-18
5,1,Rashid Al Shehhi,Male,Data Analysis,SQL Basics,82,Present,2024-09-02
6,1,Rashid Al Shehhi,Male,Data Analysis,Power BI,79,Present,2024-07-14
7,1,Rashid Al Shehhi,Male,Data Analysis,Excel,60,Absent,2024-09-11
8,1,Rashid Al Shehhi,Male,Data Analysis,SQL Basics,87,Present,2024-08-16
9,2,Saeed Al Zaabi,Male,Python Basics,Functions,100,Present,2024-08-02
10,2,Saeed Al Zaabi,Male,Python Basics,Debugging,85,Present,2024-08-17
11,2,Saeed Al Zaabi,Male,Python Basics,OOP,100,Present,2024-08-12
12,2,Saeed Al Zaabi,Male,Python Basics,Functions,96,Present,2024-07-07
13,2,Saeed Al Zaabi,Male,Python Basics,Debugging,63,Present,2024-09-17
14,2,Saeed Al Zaabi,Male,Python Basics,Files,80,Present,2024-08-27
15,2,Saeed Al Zaabi,Male,Python Basics,Files,87,Present,2024-07-20
16,2,Saeed Al Zaabi,Male,Python Basics,Loops,96,Present,2024-09-15
17,3,Rashid Al Marri,Male,Python Basics,Data Types,55,Present,2024-08-01
18,3,Rashid Al Marri,Male,Python Basics,Functions,63,Absent,2024-08-25
19,3,Rashid Al Marri,Male,Python Basics,Debugging,51,Present,2024-07-03
20,3,Rashid Al Marri,Male,Python Basics,Files,68,Present,2024-07-19
21,3,Rashid Al Marri,Male,Python Basics,Debugging,59,Present,2024-07-11
22,3,Rashid Al Marri,Male,Python Basics,Data Types,57,Present,2024-07-21
23,3,Rashid Al Marri,Male,Python Basics,OOP,80,Present,2024-08-04
24,3,Rashid Al Marri,Male,Python Basics,Data Types,76,Present,2024-09-14
25,4,Rashid Al Balushi,Male,Python Basics,Files,53,Present,2024-08-10
26,4,Rashid Al Balushi,Male,Python Basics,Functions,62,Present,2024-09-22
27,4,Rashid Al Balushi,Male,Python Basics,Data Types,58,Absent,2024-09-28
28,4,Rashid Al Balushi,Male,Python Basics,OOP,51,Present,2024-09-25
29,4,Rashid Al Balushi,Male,Python Basics,Loops,61,Present,2024-07-13
30,4,Rashid Al Balushi,Male,Python Basics,Loops,80,Present,2024-08-25
31,4,Rashid Al Balushi,Male,Python Basics,Data Types,76,Present,2024-08-01
32,4,Rashid Al Balushi,Male,Python Basics,Loops,67,Absent,2024-07-05
33,5,Saeed Al Awadhi,Male,Data Analysis,SQL Basics,72,Present,2024-08-25
34,5,Saeed Al Awadhi,Male,Data Analysis,Statistics,62,Absent,2024-08-13
35,5,Saeed Al Awadhi,Male,Data Analysis,Data Cleaning,93,Present,2024-08-03
36,5,Saeed Al Awadhi,Male,Data Analysis,Visualization,71,Present,2024-07-16
37,5,Saeed Al Awadhi,Male,Data Analysis,Statistics,86,Present,2024-07-01
38,5,Saeed Al Awadhi,Male,Data Analysis,Visualization,86,Present,2024-08-17
39,5,Saeed Al Awadhi,Male,Data Analysis,Power BI,84,Present,2024-07-03
40,5,Saeed Al Awadhi,Male,Data Analysis,Visualization,78,Present,2024-09-03
41,6,Nasser Al Shamsi,Male,Python Basics,Functions,85,Present,2024-08-28
42,6,Nasser Al Shamsi,Male,Python Basics,Files,93,Absent,2024-09-08
43,6,Nasser Al Shamsi,Male,Python Basics,Data Types,93,Present,2024-09-22
44,6,Nasser Al Shamsi,Male,Python Basics,Loops,93,Present,2024-07-04
45,6,Nasser Al Shamsi,Male,Python Basics,Data Types,91,Present,2024-08-31
46,6,Nasser Al Shamsi,Male,Python Basics,Functions,86,Present,2024-08-28
47,6,Nasser Al Shamsi,Male,Python Basics,Files,81,Present,2024-09-28
48,6,Nasser Al Shamsi,Male,Python Basics,OOP,89,Present,2024-07-22
49,7,Abdullah Al Qasimi,Male,Python Basics,Data Types,100,Present,2024-08-27
50,7,Abdullah Al Qasimi,Male,Python Basics,OOP,89,Present,2024-08-04
51,7,Abdullah Al Qasimi,Male,Python Basics,Functions,72,Present,2024-09-12
52,7,Abdullah Al Qasimi,Male,Python Basics,Files,100,Present,2024-09-24
53,7,Abdullah Al Qasimi,Male,Python Basics,Debugging,100,Present,2024-07-12
54,7,Abdullah Al Qasimi,Male,Python Basics,Loops,87,Present,2024-09-22
55,7,Abdullah Al Qasimi,Male,Python Basics,Data Types,93,Present,2024-07-24
56,7,Abdullah Al Qasimi,Male,Python Basics,Data Types,86,Absent,2024-07-27
57,8,Rashid Al Mazrouei,Male,Web Development,Forms,88,Present,2024-09-17
58,8,Rashid Al Mazrouei,Male,Web Development,HTML/CSS,79,Present,2024-09-20
59,8,Rashid Al Mazrouei,Male,Web Development,APIs,96,Present,2024-07-05
60,8,Rashid Al Mazrouei,Male,Web Development,Responsive Design,91,Present,2024-08-22
61,8,Rashid Al Mazrouei,Male,Web Development,Forms,83,Present,2024-08-02
62,8,Rashid Al Mazrouei,Male,Web Development,Debugging,85,Present,2024-09-15
63,8,Rashid Al Mazrouei,Male,Web Development,Forms,77,Present,2024-07-02
64,8,Rashid Al Mazrouei,Male,Web Development,JavaScript,88,Present,2024-07-08
65,9,Nasser Al Marri,Male,IT Fundamentals,Troubleshooting,71,Present,2024-08-27
66,9,Nasser Al Marri,Male,IT Fundamentals,Hardware,74,Present,2024-08-04
67,9,Nasser Al Marri,Male,IT Fundamentals,Security Basics,49,Present,2024-08-02
68,9,Nasser Al Marri,Male,IT Fundamentals,Security Basics,82,Present,2024-09-20
69,9,Nasser Al Marri,Male,IT Fundamentals,Networking,62,Present,2024-09-05
70,9,Nasser Al Marri,Male,IT Fundamentals,Security Basics,78,Absent,2024-08-16
71,9,Nasser Al Marri,Male,IT Fundamentals,Networking,69,Present,2024-09-07
72,9,Nasser Al Marri,Male,IT Fundamentals,Troubleshooting,50,Present,2024-07-29
73,10,Nasser Al Kaabi,Male,Web Development,JavaScript,75,Absent,2024-09-11
74,10,Nasser Al Kaabi,Male,Web Development,Debugging,69,Present,2024-07-25
75,10,Nasser Al Kaabi,Male,Web Development,Responsive Design,75,Present,2024-08-19
76,10,Nasser Al Kaabi,Male,Web Development,APIs,76,Present,2024-07-16
77,10,Nasser Al Kaabi,Male,Web Development,Responsive Design,80,Present,2024-08-10
78,10,Nasser Al Kaabi,Male,Web Development,JavaScript,75,Present,2024-08-23
79,10,Nasser Al Kaabi,Male,Web Development,APIs,62,Present,2024-09-06
80,10,Nasser Al Kaabi,Male,Web Development,Responsive Design,68,Present,2024-07-29
81,11,Rashid Al Darmaki,Male,IT Fundamentals,Troubleshooting,77,Present,2024-08-15
82,11,Rashid Al Darmaki,Male,IT Fundamentals,Networking,65,Present,2024-08-30
83,11,Rashid Al Darmaki,Male,IT Fundamentals,Troubleshooting,74,Present,2024-08-14
84,11,Rashid Al Darmaki,Male,IT Fundamentals,Hardware,64,Present,2024-07-06
85,11,Rashid Al Darmaki,Male,IT Fundamentals,IT Support,47,Present,2024-09-29
86,11,Rashid Al Darmaki,Male,IT Fundamentals,Operating Systems,63,Present,2024-09-08
87,11,Rashid Al Darmaki,Male,IT Fundamentals,Troubleshooting,76,Present,2024-09-12
88,11,Rashid Al Darmaki,Male,IT Fundamentals,Security Basics,89,Present,2024-08-16
89,12,Nasser Al Neyadi,Male,Web Development,JavaScript,63,Absent,2024-09-10
90,12,Nasser Al Neyadi,Male,Web Development,Forms,76,Present,2024-07-10
91,12,Nasser Al Neyadi,Male,Web Development,Debugging,76,Present,2024-09-05
92,12,Nasser Al Neyadi,Male,Web Development,Debugging,85,Present,2024-08-19
93,12,Nasser Al Neyadi,Male,Web Development,JavaScript,67,Present,2024-08-21
94,12,Nasser Al Neyadi,Male,Web Development,Responsive Design,84,Present,2024-07-28
95,12,Nasser Al Neyadi,Male,Web Development,Debugging,68,Present,2024-09-23
96,12,Nasser Al Neyadi,Male,Web Development,Forms,76,Present,2024-08-11
97,13,Hamdan Al Balushi,Male,Web Development,JavaScript,41,Present,2024-07-23
98,13,Hamdan Al Balushi,Male,Web Development,JavaScript,59,Present,2024-08-27
99,13,Hamdan Al Balushi,Male,Web Development,Debugging,43,Absent,2024-08-12
100,13,Hamdan Al Balushi,Male,Web Development,JavaScript,45,Present,2024-08-14
101,13,Hamdan Al Balushi,Male,Web Development,Debugging,61,Present,2024-09-29
102,13,Hamdan Al Balushi,Male,Web Development,Responsive Design,79,Present,2024-07-04
103,13,Hamdan Al Balushi,Male,Web Development,Forms,50,Present,2024-08-06
104,13,Hamdan Al Balushi,Male,Web Development,Debugging,52,Absent,2024-09-12
105,14,Nasser Al Mansoori,Male,IT Fundamentals,IT Support,56,Present,2024-09-19
106,14,Nasser Al Mansoori,Male,IT Fundamentals,Troubleshooting,60,Present,2024-08-05
107,14,Nasser Al Mansoori,Male,IT Fundamentals,Security Basics,54,Absent,2024-07-02
108,14,Nasser Al Mansoori,Male,IT Fundamentals,Troubleshooting,63,Present,2024-08-23
109,14,Nasser Al Mansoori,Male,IT Fundamentals,Troubleshooting,53,Present,2024-09-19
110,14,Nasser Al Mansoori,Male,IT Fundamentals,Hardware,66,Present,2024-07-24
111,14,Nasser Al Mansoori,Male,IT Fundamentals,Networking,74,Present,2024-08-20
112,14,Nasser Al Mansoori,Male,IT Fundamentals,Networking,76,Absent,2024-07-11
113,15,Faisal Al Marri,Male,Web Development,APIs,57,Present,2024-07-14
114,15,Faisal Al Marri,Male,Web Development,HTML/CSS,70,Present,2024-09-12
115,15,Faisal Al Marri,Male,Web Development,Forms,73,Present,2024-08-16
116,15,Faisal Al Marri,Male,Web Development,APIs,72,Present,2024-07-15
117,15,Faisal Al Marri,Male,Web Development,APIs,78,Present,2024-08-22
118,15,Faisal Al Marri,Male,Web Development,Forms,84,Present,2024-07-12
119,15,Faisal Al Marri,Male,Web Development,APIs,60,Present,2024-07-10
120,15,Faisal Al Marri,Male,Web Development,Responsive Design,74,Present,2024-09-17
121,16,Mohammed Al Shamsi,Male,Python Basics,Functions,56,Present,2024-09-01
122,16,Mohammed Al Shamsi,Male,Python Basics,Data Types,79,Present,2024-07-31
123,16,Mohammed Al Shamsi,Male,Python Basics,Functions,65,Absent,2024-08-04
124,16,Mohammed Al Shamsi,Male,Python Basics,Data Types,57,Present,2024-07-06
125,16,Mohammed Al Shamsi,Male,Python Basics,Loops,77,Absent,2024-09-07
126,16,Mohammed Al Shamsi,Male,Python Basics,Data Types,60,Present,2024-09-28
127,16,Mohammed Al Shamsi,Male,Python Basics,OOP,64,Present,2024-08-20
128,16,Mohammed Al Shamsi,Male,Python Basics,Files,67,Absent,2024-07-27
129,17,Abdullah Al Kaabi,Male,IT Fundamentals,IT Support,74,Present,2024-07-03
130,17,Abdullah Al Kaabi,Male,IT Fundamentals,IT Support,84,Present,2024-08-27
131,17,Abdullah Al Kaabi,Male,IT Fundamentals,IT Support,67,Absent,2024-08-31
132,17,Abdullah Al Kaabi,Male,IT Fundamentals,Hardware,76,Present,2024-09-22
133,17,Abdullah Al Kaabi,Male,IT Fundamentals,Troubleshooting,58,Present,2024-09-06
134,17,Abdullah Al Kaabi,Male,IT Fundamentals,Networking,67,Present,2024-08-10
135,17,Abdullah Al Kaabi,Male,IT Fundamentals,Hardware,63,Present,2024-07-06
136,17,Abdullah Al Kaabi,Male,IT Fundamentals,IT Support,44,Present,2024-07-17
137,18,Ahmed Al Shehhi,Male,IT Fundamentals,Operating Systems,100,Present,2024-08-31
138,18,Ahmed Al Shehhi,Male,IT Fundamentals,Security Basics,94,Present,2024-07-21
139,18,Ahmed Al Shehhi,Male,IT Fundamentals,Security Basics,83,Present,2024-09-05
140,18,Ahmed Al Shehhi,Male,IT Fundamentals,Networking,87,Present,2024-08-08
141,18,Ahmed Al Shehhi,Male,IT Fundamentals,Security Basics,80,Present,2024-07-26
142,18,Ahmed Al Shehhi,Male,IT Fundamentals,Security Basics,76,Present,2024-09-14
143,18,Ahmed Al Shehhi,Male,IT Fundamentals,Networking,77,Present,2024-08-18
144,18,Ahmed Al Shehhi,Male,IT Fundamentals,Security Basics,86,Present,2024-07-23
145,19,Hamdan Al Mazrouei,Male,IT Fundamentals,Operating Systems,64,Present,2024-09-02
146,19,Hamdan Al Mazrouei,Male,IT Fundamentals,Networking,59,Present,2024-08-26
147,19,Hamdan Al Mazrouei,Male,IT Fundamentals,IT Support,68,Present,2024-07-24
148,19,Hamdan Al Mazrouei,Male,IT Fundamentals,Operating Systems,63,Present,2024-07-07
149,19,Hamdan Al Mazrouei,Male,IT Fundamentals,Troubleshooting,53,Present,2024-09-07
150,19,Hamdan Al Mazrouei,Male,IT Fundamentals,Operating Systems,65,Present,2024-08-12
151,19,Hamdan Al Mazrouei,Male,IT Fundamentals,Troubleshooting,75,Absent,2024-08-20
152,19,Hamdan Al Mazrouei,Male,IT Fundamentals,Troubleshooting,57,Present,2024-09-13
153,20,Faisal Al Kaabi,Male,Python Basics,Functions,74,Present,2024-09-12
154,20,Faisal Al Kaabi,Male,Python Basics,Debugging,78,Present,2024-08-12
155,20,Faisal Al Kaabi,Male,Python Basics,Files,84,Absent,2024-07-23
156,20,Faisal Al Kaabi,Male,Python Basics,Debugging,82,Present,2024-07-13
157,20,Faisal Al Kaabi,Male,Python Basics,OOP,72,Present,2024-07-08
158,20,Faisal Al Kaabi,Male,Python Basics,Loops,84,Present,2024-07-11
159,20,Faisal Al Kaabi,Male,Python Basics,Functions,96,Absent,2024-07-14
160,20,Faisal Al Kaabi,Male,Python Basics,Data Types,100,Present,2024-07-03
161,21,Mohammed Al Zaabi,Male,IT Fundamentals,Networking,63,Present,2024-09-24
162,21,Mohammed Al Zaabi,Male,IT Fundamentals,Security Basics,61,Present,2024-08-24
163,21,Mohammed Al Zaabi,Male,IT Fundamentals,Troubleshooting,57,Present,2024-09-18
164,21,Mohammed Al Zaabi,Male,IT Fundamentals,Operating Systems,65,Present,2024-08-11
165,21,Mohammed Al Zaabi,Male,IT Fundamentals,Security Basics,68,Present,2024-07-16
166,21,Mohammed Al Zaabi,Male,IT Fundamentals,Networking,44,Present,2024-09-21
167,21,Mohammed Al Zaabi,Male,IT Fundamentals,Operating Systems,58,Present,2024-09-12
168,21,Mohammed Al Zaabi,Male,IT Fundamentals,Security Basics,46,Present,2024-08-17
169,22,Khalid Al Qubaisi,Male,IT Fundamentals,IT Support,68,Absent,2024-07-22
170,22,Khalid Al Qubaisi,Male,IT Fundamentals,Hardware,50,Present,2024-09-23
171,22,Khalid Al Qubaisi,Male,IT Fundamentals,Networking,79,Present,2024-09-16
172,22,Khalid Al Qubaisi,Male,IT Fundamentals,Networking,74,Present,2024-07-08
173,22,Khalid Al Qubaisi,Male,IT Fundamentals,IT Support,62,Present,2024-08-08
174,22,Khalid Al Qubaisi,Male,IT Fundamentals,Operating Systems,70,Present,2024-09-18
175,22,Khalid Al Qubaisi,Male,IT Fundamentals,IT Support,52,Absent,2024-08-07
176,22,Khalid Al Qubaisi,Male,IT Fundamentals,Security Basics,69,Present,2024-08-13
177,23,Nasser Al Awadhi,Male,IT Fundamentals,Security Basics,92,Present,2024-07-01
178,23,Nasser Al Awadhi,Male,IT Fundamentals,Operating Systems,78,Present,2024-09-04
179,23,Nasser Al Awadhi,Male,IT Fundamentals,Troubleshooting,81,Present,2024-07-23
180,23,Nasser Al Awadhi,Male,IT Fundamentals,Hardware,89,Present,2024-09-18
181,23,Nasser Al Awadhi,Male,IT Fundamentals,Networking,61,Absent,2024-07-01
182,23,Nasser Al Awadhi,Male,IT Fundamentals,Troubleshooting,73,Present,2024-08-06
183,23,Nasser Al Awadhi,Male,IT Fundamentals,Networking,81,Present,2024-07-08
184,23,Nasser Al Awadhi,Male,IT Fundamentals,Operating Systems,84,Present,2024-08-07
185,24,Mohammed Al Darmaki,Male,IT Fundamentals,Hardware,67,Absent,2024-08-19
186,24,Mohammed Al Darmaki,Male,IT Fundamentals,Security Basics,51,Absent,2024-07-30
187,24,Mohammed Al Darmaki,Male,IT Fundamentals,Networking,55,Present,2024-09-09
188,24,Mohammed Al Darmaki,Male,IT Fundamentals,Operating Systems,64,Present,2024-08-18
189,24,Mohammed Al Darmaki,Male,IT Fundamentals,Networking,62,Absent,2024-07-02
190,24,Mohammed Al Darmaki,Male,IT Fundamentals,Networking,60,Present,2024-09-10
191,24,Mohammed Al Darmaki,Male,IT Fundamentals,Troubleshooting,60,Present,2024-08-09
192,24,Mohammed Al Darmaki,Male,IT Fundamentals,Operating Systems,69,Present,2024-07-17
193,25,Mohammed Al Darmaki,Male,Data Analysis,SQL Basics,68,Present,2024-09-25
194,25,Mohammed Al Darmaki,Male,Data Analysis,Visualization,57,Absent,2024-09-05
195,25,Mohammed Al Darmaki,Male,Data Analysis,Statistics,65,Present,2024-08-05
196,25,Mohammed Al Darmaki,Male,Data Analysis,SQL Basics,59,Present,2024-07-05
197,25,Mohammed Al Darmaki,Male,Data Analysis,Statistics,52,Present,2024-09-15
198,25,Mohammed Al Darmaki,Male,Data Analysis,Visualization,69,Present,2024-09-09
199,25,Mohammed Al Darmaki,Male,Data Analysis,Excel,53,Absent,2024-07-16
200,25,Mohammed Al Darmaki,Male,Data Analysis,Power BI,72,Present,2024-09-04
201,26,Saeed Al Shamsi,Male,Web Development,Responsive Design,98,Absent,2024-08-05
202,26,Saeed Al Shamsi,Male,Web Development,HTML/CSS,96,Absent,2024-09-05
203,26,Saeed Al Shamsi,Male,Web Development,Responsive Design,81,Present,2024-08-17
204,26,Saeed Al Shamsi,Male,Web Development,Forms,96,Present,2024-08-17
205,26,Saeed Al Shamsi,Male,Web Development,Responsive Design,76,Present,2024-07-01
206,26,Saeed Al Shamsi,Male,Web Development,JavaScript,77,Present,2024-07-15
207,26,Saeed Al Shamsi,Male,Web Development,Forms,81,Present,2024-09-24
208,26,Saeed Al Shamsi,Male,Web Development,Forms,98,Present,2024-07-31
209,27,Nasser Al Dhaheri,Male,IT Fundamentals,Operating Systems,62,Present,2024-08-08
210,27,Nasser Al Dhaheri,Male,IT Fundamentals,Hardware,58,Present,2024-09-22
211,27,Nasser Al Dhaheri,Male,IT Fundamentals,Security Basics,59,Absent,2024-08-24
212,27,Nasser Al Dhaheri,Male,IT Fundamentals,Security Basics,60,Present,2024-07-15
213,27,Nasser Al Dhaheri,Male,IT Fundamentals,Hardware,65,Present,2024-07-11
214,27,Nasser Al Dhaheri,Male,IT Fundamentals,Operating Systems,53,Present,2024-08-15
215,27,Nasser Al Dhaheri,Male,IT Fundamentals,Security Basics,68,Present,2024-07-19
216,27,Nasser Al Dhaheri,Male,IT Fundamentals,IT Support,56,Absent,2024-08-20
217,28,Nasser Al Ameri,Male,Web Development,APIs,71,Present,2024-08-01
218,28,Nasser Al Ameri,Male,Web Development,Forms,95,Present,2024-09-04
219,28,Nasser Al Ameri,Male,Web Development,APIs,87,Absent,2024-08-27
220,28,Nasser Al Ameri,Male,Web Development,Debugging,74,Present,2024-07-15
221,28,Nasser Al Ameri,Male,Web Development,APIs,54,Present,2024-07-24
222,28,Nasser Al Ameri,Male,Web Development,Debugging,83,Absent,2024-08-18
223,28,Nasser Al Ameri,Male,Web Development,Responsive Design,75,Present,2024-09-18
224,28,Nasser Al Ameri,Male,Web Development,JavaScript,80,Present,2024-09-09
225,29,Mohammed Al Marri,Male,Data Analysis,Visualization,81,Present,2024-09-21
226,29,Mohammed Al Marri,Male,Data Analysis,Statistics,64,Absent,2024-09-24
227,29,Mohammed Al Marri,Male,Data Analysis,Visualization,78,Absent,2024-09-25
228,29,Mohammed Al Marri,Male,Data Analysis,SQL Basics,78,Present,2024-07-21
229,29,Mohammed Al Marri,Male,Data Analysis,Statistics,76,Present,2024-09-22
230,29,Mohammed Al Marri,Male,Data Analysis,Power BI,85,Present,2024-07-09
231,29,Mohammed Al Marri,Male,Data Analysis,Data Cleaning,75,Present,2024-07-23
232,29,Mohammed Al Marri,Male,Data Analysis,Statistics,66,Absent,2024-07-27
233,30,Saeed Al Marri,Male,IT Fundamentals,Hardware,92,Present,2024-09-08
234,30,Saeed Al Marri,Male,IT Fundamentals,Hardware,84,Present,2024-09-22
235,30,Saeed Al Marri,Male,IT Fundamentals,Security Basics,77,Present,2024-09-08
236,30,Saeed Al Marri,Male,IT Fundamentals,Security Basics,64,Present,2024-09-08
237,30,Saeed Al Marri,Male,IT Fundamentals,IT Support,86,Present,2024-07-20
238,30,Saeed Al Marri,Male,IT Fundamentals,Troubleshooting,74,Present,2024-07-01
239,30,Saeed Al Marri,Male,IT Fundamentals,IT Support,80,Present,2024-07-12
240,30,Saeed Al Marri,Male,IT Fundamentals,Operating Systems,91,Absent,2024-09-25
241,31,Khalid Al Shehhi,Male,IT Fundamentals,Hardware,83,Absent,2024-09-16
242,31,Khalid Al Shehhi,Male,IT Fundamentals,Security Basics,84,Present,2024-08-16
